service_id,date,exception_type
20220905_MTWTF--_38,20231018,1
20220926_M-W-F--_36,20231018,1
20230820_MTWTF--_42,20231018,1
20230821_MTWTF--_49,20231018,1
20230821_MTWTF--_50,20231018,1
20230823_MTWTF--_83,20231018,1
20220522_MTWTF--_1,20231019,1
20220522_MTWTF--_2,20231019,1
20220522_MTWTF--_3,20231019,1
20220904_---T---_9,20231019,1
20220904_--WT---_10,20231019,1
20220904_MT-TF--_13,20231019,1
20220904_MTWT---_15,20231019,1
20220904_MTWTF--_16,20231019,1
20220904_MTWTF--_19,20231019,1
20220904_MTWTF--_27,20231019,1
20220905_MTWTF--_28,20231019,1
20220905_MTWTF--_38,20231019,1
20220926_---T---_35,20231019,1
20230820_MTWTF--_42,20231019,1
20230821_MTWTF--_49,20231019,1
20230821_MTWTF--_50,20231019,1
20230823_MTWTF--_83,20231019,1
20220522_MTWTF--_1,20231020,1
20220522_MTWTF--_2,20231020,1
20220522_MTWTF--_3,20231020,1
20220904_----F--_8,20231020,1
20220904_M-W-F--_11,20231020,1
20220904_MT--F--_12,20231020,1
20220904_MT-TF--_13,20231020,1
20220904_MTW-F--_14,20231020,1
20220904_MTWTF--_16,20231020,1
20220904_MTWTF--_19,20231020,1
20220904_MTWTF--_27,20231020,1
20220905_MTWTF--_28,20231020,1
20220905_MTWTF--_38,20231020,1
20220926_M-W-F--_36,20231020,1
20230820_----F--_41,20231020,1
20230820_MTWTF--_42,20231020,1
20230821_MTWTF--_49,20231020,1
20230821_MTWTF--_50,20231020,1
20230823_MTWTF--_83,20231020,1
20230831_----F--_85,20231020,1
20230928_----F--_91,20231020,1
20220522_-----S-_5,20231021,1
20220904_-----S-_17,20231021,1
20220904_-----S-_26,20231021,1
20220904_-----S-_7,20231021,1
20230820_-----S-_40,20231021,1
20230820_-----S-_43,20231021,1
20230821_-----S-_51,20231021,1
20230928_-----S-_90,20231021,1
20220522_------S_4,20231022,1
20220904_------S_18,20231022,1
20220926_------S_34,20231022,1
20230820_------S_39,20231022,1
20230831_------S_84,20231022,1
20220522_MTWTF--_1,20231023,1
20220522_MTWTF--_2,20231023,1
20220522_MTWTF--_3,20231023,1
20220904_M-W-F--_11,20231023,1
20220904_MT--F--_12,20231023,1
20220904_MT-TF--_13,20231023,1
20220904_MTW-F--_14,20231023,1
20220904_MTWT---_15,20231023,1
20220904_MTWTF--_16,20231023,1
20220904_MTWTF--_19,20231023,1
20220904_MTWTF--_27,20231023,1
20220905_MTWTF--_28,20231023,1
20220905_MTWTF--_38,20231023,1
20220926_M-W-F--_36,20231023,1
20230820_MTWTF--_42,20231023,1
20230821_MTWTF--_49,20231023,1
20230821_MTWTF--_50,20231023,1
20230823_MTWTF--_83,20231023,1
20220522_MTWTF--_1,20231024,1
20220522_MTWTF--_2,20231024,1
20220522_MTWTF--_3,20231024,1
20220904_-T-----_23,20231024,1
20220904_MT--F--_12,20231024,1
20220904_MT-TF--_13,20231024,1
20220904_MTW-F--_14,20231024,1
20220904_MTWT---_15,20231024,1
20220904_MTWTF--_16,20231024,1
20220904_MTWTF--_19,20231024,1
20220904_MTWTF--_27,20231024,1
20220905_MTWTF--_28,20231024,1
20220905_MTWTF--_38,20231024,1
20230820_MTWTF--_42,20231024,1
20230821_MTWTF--_49,20231024,1
20230821_MTWTF--_50,20231024,1
20230823_MTWTF--_83,20231024,1
20220522_MTWTF--_1,20231025,1
20220522_MTWTF--_2,20231025,1
20220522_MTWTF--_3,20231025,1
20220904_--W----_82,20231025,1
20220904_--WT---_10,20231025,1
20220904_M-W-F--_11,20231025,1
20220904_MTW-F--_14,20231025,1
20220904_MTWT---_15,20231025,1
20220904_MTWTF--_16,20231025,1
20220904_MTWTF--_19,20231025,1
20220904_MTWTF--_27,20231025,1
20220905_MTWTF--_28,20231025,1
20220905_MTWTF--_38,20231025,1
20220926_M-W-F--_36,20231025,1
20230820_MTWTF--_42,20231025,1
20230821_MTWTF--_49,20231025,1
20230821_MTWTF--_50,20231025,1
20230823_MTWTF--_83,20231025,1
20220522_MTWTF--_1,20231026,1
20220522_MTWTF--_2,20231026,1
20220522_MTWTF--_3,20231026,1
20220904_---T---_9,20231026,1
20220904_--WT---_10,20231026,1
20220904_MT-TF--_13,20231026,1
20220904_MTWT---_15,20231026,1
20220904_MTWTF--_16,20231026,1
20220904_MTWTF--_19,20231026,1
20220904_MTWTF--_27,20231026,1
20220905_MTWTF--_28,20231026,1
20220905_MTWTF--_38,20231026,1
20220926_---T---_35,20231026,1
20230820_MTWTF--_42,20231026,1
20230821_MTWTF--_49,20231026,1
20230821_MTWTF--_50,20231026,1
20230823_MTWTF--_83,20231026,1
20220522_MTWTF--_1,20231027,1
20220522_MTWTF--_2,20231027,1
20220522_MTWTF--_3,20231027,1
20220904_----F--_8,20231027,1
20220904_M-W-F--_11,20231027,1
20220904_MT--F--_12,20231027,1
20220904_MT-TF--_13,20231027,1
20220904_MTW-F--_14,20231027,1
20220904_MTWTF--_16,20231027,1
20220904_MTWTF--_19,20231027,1
20220904_MTWTF--_27,20231027,1
20220905_MTWTF--_28,20231027,1
20220905_MTWTF--_38,20231027,1
20220926_M-W-F--_36,20231027,1
20230820_----F--_41,20231027,1
